,Country,Section,Detail,Unnamed: 0
2445,Denmark,Meeting and Greeting,"Dinner is generally long and slow (can be as long as 4-5 
              hours) with much conversation. Plan to stay at least one hour 
              after a meal ends.",
2446,Denmark,Meeting and Greeting,"At a formal dinner, name cards may be presented to each man 
              with the name of his female dinner partner, who will be seated to 
              his right. He should escort her to the dinner table.",
2447,Denmark,Meeting and Greeting,"Toasting can be a very formal process. Never toast your hosts 
              until they have toasted you, and never toast anyone senior to you 
              in rank or age.",
2448,Denmark,Meeting and Greeting,"The guest of honor or the oldest male makes a short speech of 
              ""thank you"" to the hostess.",
2449,Denmark,Meeting and Greeting,Guests are expected to eat everything on their plate.,
2450,Denmark,Meeting and Greeting,Spouses are not commonly invited to a business dinner.,
2452,Denmark,Meeting and Greeting,Never dress sloppily.,
2453,Denmark,Meeting and Greeting,Black-tie events are common for the business community.,
2454,Denmark,Meeting and Greeting,Jeans (clean and neat) are acceptable for casual wear.,
2457,Denmark,Meeting and Greeting,"When invited to someone's home, always bring a small gift for 
              the hostess. Gifts should not be lavish. Give: bouquets of flowers 
              (wrapped), liquor (very expensive in Denmark). Do not give: sharp 
              objects.",
2458,Denmark,Meeting and Greeting,"Gifts are normally not exchanged at business meetings, but 
              small gifts may be appropriate at the successful conclusion of 
              negotiations. Give: liquor, wine, chocolates, whiskey, gifts with 
              company logos.",
2460,Denmark,Meeting and Greeting,"Danes may have an ironical way of expressing themselves. They 
              may say, ""It's wonderful weather,"" when it is pouring rain, or ""It 
              is a trifle chilly,"" when it is stifling hot.",
2461,Denmark,Meeting and Greeting,"Danes say ""thank you"" for everything--anytime, anywhere.",
2462,Denmark,Meeting and Greeting,"Danes do not use the expression, ""How are you?"", as loosely as 
              Americans. Do not ask this question unless you have developed a 
              personal relationship with someone and truly wish to know.",
2463,Denmark,Meeting and Greeting,"Use proper etiquette with Danes. Relaxed, polite manners are 
              appreciated.",
2464,Denmark,Meeting and Greeting,"Refrain from abundantly complimenting or commenting on 
              anyone's clothing.",
2465,Denmark,Meeting and Greeting,Never call a Dane a Swede or Norwegian.,
2467,Denmark,Meeting and Greeting,"It is acceptable for a foreign woman to invite a Danish man to 
              dinner, but his wife may come along. A traditional Danish man may 
              insist on paying, but the younger generation has no problem with 
              women paying.",
2468,Denmark,Meeting and Greeting,"It is better for a woman to schedule business lunches with men 
              rather than dinners.",
2469,Denmark,Meeting and Greeting,"Women do not smoke in the streets in Denmark. However, they do 
              smoke elsewhere.",
2607,Ecuador,Meeting and Greeting,People shake hands when meeting for the first time.,
2608,Ecuador,Meeting and Greeting,Men may embrace each other if they are good friends.,
2609,Ecuador,Meeting and Greeting,Ecuadorians kiss once when they meet friends.,
2611,Ecuador,Meeting and Greeting,There is a good deal of touching among friends and family.,
2612,Ecuador,Meeting and Greeting,Yawning in public is rude.,
2613,Ecuador,Meeting and Greeting,"Fidgeting with hands and feet is distracting and considered 
              impolite.",
2614,Ecuador,Meeting and Greeting,"Holding out a hand, as though to shake hands, and twisting it 
              back and forth means “no.”",
2615,Ecuador,Meeting and Greeting,"It is impolite to point at someone. Ecuadorians may point by 
              puckering or pursing their lips.",
2617,Ecuador,Meeting and Greeting,"Ecuadorians are generally not punctual. Arriving 15 to 20 
              minutes late is considered “on time.” However, all foreigners 
              should be punctual for business meetings.",
2618,Ecuador,Meeting and Greeting,"Many executives don't arrive at the office until after 10:00 
              a.m. Many businesspeople start the day by playing tennis or golf 
              at their club, then taking a Turkish bath and having breakfast 
              before going into their office. A great deal of business gets done 
              this way.",
2619,Ecuador,Meeting and Greeting,The “old boy” network is very important.,
2620,Ecuador,Meeting and Greeting,"Meetings start with small talk before business discussions 
              begin.",
2621,Ecuador,Meeting and Greeting,"Ecuadorians negotiate with people, not companies. Never change 
              your negotiating team. Be prepared to make several trips to 
              conduct a business transaction.",
2622,Ecuador,Meeting and Greeting,Negotiations can be lengthy. Be patient and expect delays.,
2623,Ecuador,Meeting and Greeting,"Private business people may speak English, but few government 
              officials will. You will need to hire an interpreter.",
2624,Ecuador,Meeting and Greeting,"Hire a local contact--a business consultant or lawyer--when 
              doing business in Ecuador.",
2626,Ecuador,Meeting and Greeting,"Guests are not expected to arrive on time for a social event. 
              Arrive half an hour to an hour late for a party.",
2627,Ecuador,Meeting and Greeting,"Drinks and appetizers may start at 8:00 p.m. Dinner may not be 
              served until 11:00 p.m. or midnight. Be prepared to make a night 
              of it. A party may not end until 4:00 or 5:00 a.m. Sometimes 
              breakfast is served before the last guests leave.",
2628,Ecuador,Meeting and Greeting,"There is no such thing as a party without dancing. Ecuadorians 
              learn to dance at the same time they learn to walk.",
2629,Ecuador,Meeting and Greeting,"Being invited to someone's home for a visit is a sign of 
              friendship and should be viewed as a great honor.",
2630,Ecuador,Meeting and Greeting,"Ecuadorians enjoy meal times, and conversation is lively. 
              Dinners are considered social events, and business should not be 
              discussed. Stay for conversation after the meal is finished. It is 
              considered impolite to leave right away.",
2631,Ecuador,Meeting and Greeting,"When guests are invited to a restaurant, the host pays for the 
              meal.",
2633,Ecuador,Meeting and Greeting,Styles are European and conservative.,
2634,Ecuador,Meeting and Greeting,"Men should wear suits and ties for formal meetings. Light 
              shirts may be worn to casual business or business/social meetings.",
2635,Ecuador,Meeting and Greeting,"Women should wear suits for a first meeting. After that, 
              comfortable dresses.",
2637,Ecuador,Meeting and Greeting,Name brands are appreciated.,
2638,Ecuador,Meeting and Greeting,"Be very demonstrative in your gratitude when you are given a 
              gift.",
2639,Ecuador,Meeting and Greeting,"After dinner, hosts may give the guests a small gift.",
2640,Ecuador,Meeting and Greeting,"If invited to a home for a meal, send or bring flowers. Do not 
              give lilies or marigolds, which are considered funeral flowers. 
              Give: pastries, chocolates, wine, liquors or items for the home.",
2641,Ecuador,Meeting and Greeting,"A gift for the children is appreciated. American candy bars 
              are popular, i.e. Milky Ways, Snickers, etc.",
2642,Ecuador,Meeting and Greeting,"Business gifts are exchanged after negotiations are over. 
              Give: desk accessories or pictures and books, especially those 
              related to your region or country.",
2644,Ecuador,Meeting and Greeting,"Foreign women should have no problems doing business in 
              Ecuador.",
2645,Ecuador,Meeting and Greeting,"Men will expect to pay the bill at a restaurant. It is polite 
              for a woman to offer, but she will be refused. Arrange to pay 
              ahead of time if it is important for you to pay.",
2646,Ecuador,Meeting and Greeting,"Ecuadorians are not accustomed to seeing women drink whiskey 
              or hard liquor. Women drink wine.",
2761,Finland,Meeting and Greeting,"Shake hands with everyone present--men, women and children--at 
              a business or social meeting. Shake hands again when leaving.",
2763,Finland,Meeting and Greeting,"Keep some physical distance from Finns. Respect their shyness 
              and desire for privacy. Do not engage a Finn in conversation on a 
              bus or in a line, restaurant or other public places.",
2764,Finland,Meeting and Greeting,"Never hug, kiss or touch a Finn.",
2765,Finland,Meeting and Greeting,Maintain eye contact when speaking to someone.,
2766,Finland,Meeting and Greeting,Never talk to anyone with your hands in your pocket.,
2768,Finland,Meeting and Greeting,"Finns take punctuality for business meetings very seriously 
              and expect that you will do likewise; call if you will be more 
              than five minutes late.",
2769,Finland,Meeting and Greeting,The Managing Director is the decision maker.,
2770,Finland,Meeting and Greeting,Finns do not make small talk; they get right to business.,
2771,Finland,Meeting and Greeting,Doing business in Finland takes time and patience.,
2772,Finland,Meeting and Greeting,"Two- to three-minute pauses of silence are common. Don't 
              interrupt this silence.",
2774,Finland,Meeting and Greeting,"The sauna is a venerated Finnish tradition. Business 
              discussions may be held in a sauna, or a business lunch may be 
              preceded or followed by a sauna.",
2775,Finland,Meeting and Greeting,"All Finns sauna naked. You do not have to sauna naked, but it 
              is considered strange not to. You may wrap a towel around yourself 
              or wear a bathing suit.",
2776,Finland,Meeting and Greeting,Finns insist on punctuality for social occasions.,
2777,Finland,Meeting and Greeting,"Conversation may continue approximately one to two hours after 
              dinner. Never leave until coffee/dessert/cognac is finished.",
2778,Finland,Meeting and Greeting,"Checks in restaurants are never split. If you make the 
              invitation, you pay.",
2779,Finland,Meeting and Greeting,"Business can be discussed at any time during lunch, but is not 
              discussed during dinner, only after coffee.",
2781,Finland,Meeting and Greeting,Dress is conservative and fairly informal.,
2783,Finland,Meeting and Greeting,"When invited to someone's home, always bring a small gift for 
              the hostess. Give: flowers (odd numbers are best; white and yellow 
              flowers are for funerals only; tulips are a favorite), wine, 
              chocolates. Do not give: potted plants.",
2784,Finland,Meeting and Greeting,"Gifts are normally not exchanged in business meetings, but 
              small gifts may be appropriate at the successful conclusion of 
              negotiations. Give: books, cognac, local/national gifts, 
              recordings, art, glass, liquor (very expensive in Finland).",
2786,Finland,Meeting and Greeting,Do not show emotions in public.,
2787,Finland,Meeting and Greeting,"Never ask personal questions, such as those related to 
              someone's religion, job or political party.",
2789,Finland,Meeting and Greeting,Women are treated as equals in business and at home.,
2790,Finland,Meeting and Greeting,"A foreign businesswoman may invite a Finnish man to dinner and 
              pay without any difficulties.",
2884,France,Meeting and Greeting,"At a business or social meeting, shake hands with everyone 
              present when arriving and leaving. A handshake may be quick with a 
              light grip.",
2885,France,Meeting and Greeting,Men may initiate handshakes with women.,
2886,France,Meeting and Greeting,"When family and close friends greet one another, they often 
              kiss both cheeks.",
2888,France,Meeting and Greeting,"Use last names and appropriate titles until specifically 
              invited by your French host or colleagues to use their first 
              names. First names are used only for close friends and family.",
2889,France,Meeting and Greeting,"Colleagues on the same level generally use first names in 
              private but always last names in public.",
2890,France,Meeting and Greeting,"Address people as Monsieur, Madame or Mademoiselle without 
              adding the surname.",
2891,France,Meeting and Greeting,"Madame is used for all adult women, married or single, over 18 
              years of age (except for waitresses, which are addressed as 
              Mademoiselle.)",
2892,France,Meeting and Greeting,"Academic titles and degrees are very important. You are 
              expected to know them and use them properly.",
2894,France,Meeting and Greeting,"Do not sit with legs spread apart. Sit up straight with legs 
              crossed at knee or knees together. Feet should never placed on 
              tables or chairs.",
2895,France,Meeting and Greeting,"Toothpicks, nail clippers, and combs are not used in public.",
2896,France,Meeting and Greeting,Keep your hands out of your pockets.,
2897,France,Meeting and Greeting,"Do not yawn or scratch in public. Sneeze or blow your nose as 
              quietly as possible using a handkerchief or tissue. If possible, 
              leave the room.",
2898,France,Meeting and Greeting,"Do not slap your open palm over a closed fist (this is 
              considered a vulgar gesture).",
2899,France,Meeting and Greeting,"The ""okay"" sign, made with index finger and thumb, means 
              ""zero.""",
2900,France,Meeting and Greeting,"The French use the ""thumbs up"" sign to say ""okay.""",
2902,France,Meeting and Greeting,"Professionalism is highly valued in business and is the key to 
              acceptance of outsiders.",
2903,France,Meeting and Greeting,"France enjoys a skilled, well-educated labor force. Hard work 
              is admired, but workaholism is not.",
2904,France,Meeting and Greeting,Be on time. The French appreciate punctuality.,
2905,France,Meeting and Greeting,"Give business cards to the receptionist or secretary upon 
              arrival to an office and to each person you meet subsequently. 
              Print cards in English or French. Include academic degree and/or 
              title.",
2906,France,Meeting and Greeting,"Many French speak and understand English, but prefer not to 
              use it. An interpreter will probably not be necessary, but check 
              ahead of time. Use French only for greetings, toasts and 
              occasional phrases unless your French is perfect.",
2907,France,Meeting and Greeting,"Government plays a major role in business. Find a local 
              representative (banker, lawyer or agent) to help you through 
              regulatory obstacles.",
2908,France,Meeting and Greeting,"Business people tend to be formal and conservative. Business 
              relationships are proper, orderly and professional.",
2909,France,Meeting and Greeting,"Don't discuss personal life with business people. Personal 
              lives are kept separate from business relationships.",
2910,France,Meeting and Greeting,"The French get down to business quickly, but make decisions 
              slowly after much deliberation.",
2911,France,Meeting and Greeting,"Organizations are highly centralized with a powerful chief 
              executive. Bosses are often dictatorial and authoritative",
2912,France,Meeting and Greeting,"French are leaders in the area of economic planning. Plans are 
              far-reaching and detailed.",
2913,France,Meeting and Greeting,Entering a room and seating is done by rank.,
2914,France,Meeting and Greeting,Meetings follow an established format with a detailed agenda.,
2915,France,Meeting and Greeting,"The French dislike disagreeing and debating in a public forum, 
              but enjoy a controlled debate, whereby an informed rebuttal is 
              appreciated.",
2916,France,Meeting and Greeting,"The purpose of meetings is to brief/coordinate and clarify 
              issues. State your intentions directly and openly.",
2917,France,Meeting and Greeting,"Presentations should be well prepared, comprehensive, clear, 
              well-written, informative and presented in a formal, rational, 
              professional manner -- appealing always to the intellect.",
2918,France,Meeting and Greeting,The French dislike the hard sell approach.,
2919,France,Meeting and Greeting,"Things actually get done through a network of personal 
              relationships and alliances.",
2920,France,Meeting and Greeting,"Avoid planning business meetings during August or two weeks 
              before and after Christmas and Easter period",
2921,France,Meeting and Greeting,"Do not call a French businessperson at home unless it is an 
              emergency.",
2923,France,Meeting and Greeting,"Do not ask for a martini or scotch before dinner -- they are 
              viewed as palate numbing.",
2924,France,Meeting and Greeting,"Before dinner, pernod, kir, champagne, vermouth may be 
              offered. Wine is always served with meals. After dinner, liqueurs 
              are served.",
2925,France,Meeting and Greeting,Business breakfasts are rare.,
2926,France,Meeting and Greeting,"Senior managers socialize only with those of equivalent 
              status.",
2927,France,Meeting and Greeting,Business entertainment is done mostly in restaurants.,
2928,France,Meeting and Greeting,"Lunch is still considered a private time. However, working 
              lunches and breakfasts are becoming more common in France.",
2929,France,Meeting and Greeting,"The French do not like to discuss business during dinner. 
              Dinner is more of a social occasion and a time to enjoy good food, 
              wine and discussion.",
2930,France,Meeting and Greeting,"Spouses are not included in business lunches, but may be 
              included in business dinners.",
2931,France,Meeting and Greeting,"A female guest of honor is seated to the right of the host. A 
              male guest of honor is seated to the left of the hostess.",
2932,France,Meeting and Greeting,"Never start eating until your host and hostess have begun. 
              Wait until toast has been proposed before you drink wine.",
2933,France,Meeting and Greeting,"Keep your hands on the table at all times during a meal — not 
              in your lap. However, take care to keep your elbows off the table.",
2934,France,Meeting and Greeting,"Fold your salad onto your fork by using your knife. Do not cut 
              your salad with a knife or fork.",
2935,France,Meeting and Greeting,Never cut bread. Break bread with your fingers.,
2936,France,Meeting and Greeting,"There usually are no bread/butter plates. Put bread on the 
              table next to your dinner plate above your fork.",
2937,France,Meeting and Greeting,Cut cheese vertically. Do not cut off the point of cheese.,
2938,France,Meeting and Greeting,Almost all food is cut with a fork and a knife.,
2939,France,Meeting and Greeting,"Never eat fruit whole. Fruit should be peeled and sliced 
              before eating.",
2940,France,Meeting and Greeting,"When finished eating, place knife and fork side by side on the 
              plate at the 5:25 position.",
2941,France,Meeting and Greeting,"Cross your knife and fork across your plate to signify that 
              you would like more food.",
2942,France,Meeting and Greeting,Do not smoke between courses.,
2943,France,Meeting and Greeting,Leave wine glass almost full if you don't care for more.,
2944,France,Meeting and Greeting,Taste everything offered.,
2945,France,Meeting and Greeting,Leaving food on your plate is impolite.,
2946,France,Meeting and Greeting,"Do not ask for a tour of your host's home, it would be 
              considered impolite.",
2947,France,Meeting and Greeting,"Send a thank-you note or telephone the next day to thank 
              hostess.",
2949,France,Meeting and Greeting,"The French are the world leaders in fashion. Dress is 
              conservative and understated. Casual attire is inappropriate in 
              cities. Be clean and well-dressed at all times.",
2950,France,Meeting and Greeting,"For business, men should wear conservative suits and ties; 
              women should wear conservative suits, pant suits and dresses.",
2951,France,Meeting and Greeting,Suit coats stay on in offices and restaurants.,
2953,France,Meeting and Greeting,"Small business gifts may be exchanged, but usually not at the 
              first meeting.",
2954,France,Meeting and Greeting,Never send a gift for a French colleague to his/her home.,
2955,France,Meeting and Greeting,"Give a good quality gift or none at all. Give: recorded music, 
              art, books, office accessories.",
2956,France,Meeting and Greeting,"Do not give gifts with your company logo stamped on them (the 
              French consider this garish).",
2957,France,Meeting and Greeting,"When invited to someone's home, always bring a small gift for 
              the hostess. If possible, send flowers the morning of the party 
              (popular in Paris). Otherwise, present a gift to the hostess upon 
              arrival. A gift to the hostess will probably not be unwrapped 
              immediately (unless no other guests are present or expected).",
2958,France,Meeting and Greeting,"Give candy, cookies, cakes and flowers. Do not give gifts of 6 
              or 12 (for lovers); gifts of odd numbers, especially 13; 
              chrysanthemums or red roses; or wine unless it is exceptional 
              quality.",
2959,France,Meeting and Greeting,A gift should be of high quality and wrapped beautifully.,
2961,France,Meeting and Greeting,"Lower your voice a little and behave graciously and you will 
              enjoy a warm response from the French.",
2962,France,Meeting and Greeting,"The French value their privacy. Don’t ask personal questions 
              related to occupation, salary, age, family or children unless you 
              have a well-established friendship.",
2963,France,Meeting and Greeting,"Try to demonstrate some knowledge of history, politics and 
              French culture.",
2964,France,Meeting and Greeting,"Compliments may be appreciated, but usually are received by 
              denial instead of ""thank you.""",
2965,France,Meeting and Greeting,Do not chew gum in public.,
2966,France,Meeting and Greeting,"The French do not tell or like to hear jokes. They prefer 
              intelligent and satirical wit. Funny stories of real life 
              situations are appreciated.",
2968,France,Meeting and Greeting,"An increasing number of French women hold management positions 
              in retail, service, law, finance and human resources. Foreign 
              women are generally accepted in business, though they may be 
              flirted with on occasion.",
2969,France,Meeting and Greeting,"Women are better accepted in management positions in the major 
              cities than the provinces.",
2970,France,Meeting and Greeting,"Business women may invite a Frenchman to lunch or dinner and 
              will have no problem picking up the tab.",
3301,Germany,Meeting and Greeting,"At a business or social meeting, shake hands with everyone 
              present when arriving and leaving.",
3302,Germany,Meeting and Greeting,"When introducing yourself, never use your title. Introduce 
              yourself by your last name only.",
3303,Germany,Meeting and Greeting,Never shake hands with one hand in your pocket.,
3305,Germany,Meeting and Greeting,"Use last names and appropriate titles until specifically 
              invited by your German host or colleagues to use their first 
              names.",
3306,Germany,Meeting and Greeting,"Titles are very important. Never use titles incorrectly and 
              never fail to use them. If unsure, err in favor of a higher title.",
3307,Germany,Meeting and Greeting,A Doktor can be either a medical doctor or a holder of a Ph.D.,
3308,Germany,Meeting and Greeting,"Two titles should not be used at the same time, except when 
              addressing a letter to someone. If a person does hold several 
              titles, the higher one is used in speaking to him/her.",
3310,Germany,Meeting and Greeting,"Germans may appear reserved and unfriendly until you get to 
              know them better.",
3311,Germany,Meeting and Greeting,"Never put your hands in your pockets when talking with 
              someone.",
3312,Germany,Meeting and Greeting,"""Thumbs up"" gesture means ""one"" or is a sign of appreciation 
              or agreement.",
3313,Germany,Meeting and Greeting,"Making hands into two fists, thumbs tucked inside the other 
              fingers and making pounding motion lightly on a surface expresses 
              ""good luck.""",
3314,Germany,Meeting and Greeting,"Never use the ""okay"" sign (index finger and thumb jointed 
              together to make a circle). This is considered a rude gesture.",
3315,Germany,Meeting and Greeting,"Don't point your index finger to your own head. This is an 
              insult.",
3317,Germany,Meeting and Greeting,"Germans take punctuality for business meetings and social 
              occasions seriously. Tardiness is viewed as thoughtless and rude. 
              Call with an explanation if you are delayed.",
3318,Germany,Meeting and Greeting,"Send company profiles, personal profiles, etc., to German 
              colleagues before your visit to establish credibility.",
3319,Germany,Meeting and Greeting,"Contacts are vital to a business success. Use a bank, German 
              representative or the Industrie und Handelskammer (Chamber of 
              Industry and Commerce) when possible.",
3320,Germany,Meeting and Greeting,"Rank is very important in business. Never set up a meeting for 
              a lower ranked company employee to meet with a higher ranked 
              person.",
3321,Germany,Meeting and Greeting,"The primary purpose of a first meeting is to get to know one 
              another and to evaluate the person, to gain trust, and the check 
              chemistry.",
3322,Germany,Meeting and Greeting,Meetings are often formal and scheduled weeks in advance.,
3323,Germany,Meeting and Greeting,"Germans generally discuss business after a few minutes of 
              general discussion.",
3324,Germany,Meeting and Greeting,"Arrive at meetings well prepared. Avoid hard-sell tactics or 
              surprise.",
3325,Germany,Meeting and Greeting,"Germans take business very seriously. Levity is not common in 
              the workplace.",
3326,Germany,Meeting and Greeting,Business cards in English are acceptable.,
3327,Germany,Meeting and Greeting,"Germans are competitive, ambitious and hard bargainers.",
3328,Germany,Meeting and Greeting,"Germans value their privacy. They tend to keep their office 
              doors closed. Always knock on doors before entering.",
3329,Germany,Meeting and Greeting,"Objective criticism isn't given or received easily. 
              Compliments are seldom given for work product.",
3330,Germany,Meeting and Greeting,"Strict vertical hierarchy exists. Power is held by a small 
              number of people at the top. Deference is given to authority. 
              Subordinates rarely contradict or criticize the boss publicly.",
3331,Germany,Meeting and Greeting,"Organization is logical, methodical and compartmentalized with 
              procedures and routines done ""by the book.""",
3332,Germany,Meeting and Greeting,Decision making is slow with thorough analysis of all facts.,
3333,Germany,Meeting and Greeting,"Germans are not comfortable handling the unexpected. Plans are 
              cautious with fallback positions, contingency plans, and 
              comprehensive action steps -- carried out to the letter.",
3334,Germany,Meeting and Greeting,"Germans produce massive written communications to elaborate on 
              and confirm discussions.",
3335,Germany,Meeting and Greeting,"Written or spoken presentations should be specific, factual, 
              technical and realistic.",
3336,Germany,Meeting and Greeting,"Reports, briefings and presentations should be backed up by 
              facts, figures, tables and charts.",
3337,Germany,Meeting and Greeting,"Germans have an aversion to divergent opinions, but will 
              negotiate and debate an issue fervently.",
3338,Germany,Meeting and Greeting,"Remain silent if the floor has not been given to you or if you 
              are not prepared to make an informed contribution.",
3339,Germany,Meeting and Greeting,"Decisions are often debated informally and are generally made 
              before meetings with compliance rather than consensus expected in 
              the meeting.",
3340,Germany,Meeting and Greeting,"Always deliver information, products, proposals, etc., to 
              clients on time.",
3341,Germany,Meeting and Greeting,Do not call a German at home unless it is an emergency.,
3343,Germany,Meeting and Greeting,"To beckon a waiter, raise your hand and say, ""Herr Ober."" To 
              beckon a waitress, raise your hand and say, ""Fräulein.""",
3344,Germany,Meeting and Greeting,"Business breakfasts are arranged, but more often a business 
              lunch is preferred.",
3345,Germany,Meeting and Greeting,"Lunch with business colleagues generally involves social 
              conversation. Do not discuss business during lunch or dinner 
              unless your German host initiates the conversation.",
3346,Germany,Meeting and Greeting,Business entertaining is usually done in restaurants.,
3347,Germany,Meeting and Greeting,Spouses are generally not included in business dinners.,
3348,Germany,Meeting and Greeting,"Nobody drinks at a dinner party before the host has drunk. The 
              host will raise his glass to the woman on his right and then toast 
              to the health of the group. Thereafter, people may drink as they 
              see fit.",
3349,Germany,Meeting and Greeting,"When toasting as a guest, hold the glass only at the stem, 
              clink your glass with everyone near you at the table and say 
              Prosit, then take a drink. Then look into the eyes of someone at 
              your table and lift your glass just slightly, then bring your 
              glass down to the table.",
3350,Germany,Meeting and Greeting,"Guten Appetit is said before eating and means ""enjoy your 
              meal"". It is the host's way of saying, ""please start"". Guests can 
              respond by saying Guten Appetit or Danke ebenfalls, which means, 
              ""thank you.""",
3351,Germany,Meeting and Greeting,"A guest of honor is seated to the left of the hostess if it is 
              a man and to the right of the host if it is a woman.",
3352,Germany,Meeting and Greeting,"Keep your hands on the table at all times during a meal -- not 
              in your lap. However, take care to keep your elbows off the table.",
3353,Germany,Meeting and Greeting,"Use a knife and fork to eat sandwiches, fruit, and most food.",
3354,Germany,Meeting and Greeting,"Do not use a knife to cut potatoes or dumplings (suggests food 
              is not tender). The general rule is whatever does not need a 
              knife, should not be touched with your knife.",
3355,Germany,Meeting and Greeting,"Never cut fish with anything but a fish knife. If a fish knife 
              is not offered, two forks are acceptable.",
3356,Germany,Meeting and Greeting,"Do not leave any food on your plate when you are finished 
              eating.",
3357,Germany,Meeting and Greeting,"Do not smoke until after dinner is finished and coffee is 
              served. Then ask permission.",
3359,Germany,Meeting and Greeting,"If you are taking a break during the meal, but would like to 
              continue eating or would like more food, cross the knife and fork 
              on your plate with the fork over the knife.",
3360,Germany,Meeting and Greeting,"Germans don't tend to stay long after dinner. The honored 
              guests are expected to make the first move to leave.",
3361,Germany,Meeting and Greeting,"A ""thank you"" is usually done in person or with a telephone 
              call.",
3364,Germany,Meeting and Greeting,Being well and correctly dressed is very important.,
3365,Germany,Meeting and Greeting,Casual or sloppy attire is frowned upon.,
3366,Germany,Meeting and Greeting,"For business, men should wear suits (dark colors) and ties. 
              Women should wear dresses, suits, pantsuits, skirts and blouses.",
3368,Germany,Meeting and Greeting,"Gifts are normally not exchanged at business meetings, but 
              small gifts may be appropriate at the successful conclusion of 
              negotiations.",
3369,Germany,Meeting and Greeting,"Give books, bourbon, whiskey or classical music. American-made 
              gifts are very appropriate.",
3370,Germany,Meeting and Greeting,"Do not give pointed objects like knives, scissors, umbrellas 
              (considered unlucky), personal items, extravagant gifts or wine 
              (Germans are very proud of their wine cellars).",
3371,Germany,Meeting and Greeting,"When invited to someone's home, always bring a small gift for 
              the hostess.",
3372,Germany,Meeting and Greeting,"For a large party, it is nice to send flowers before the party 
              or the next day.",
3373,Germany,Meeting and Greeting,"Give an uneven number of flowers (unwrapped, not 13), yellow 
              roses, tea roses or chocolates.",
3374,Germany,Meeting and Greeting,"Do not give red roses (love symbol) or carnations (mourning). 
              Yellow and white chrysanthemums and calla lilies are given for 
              funerals only.",
3376,Germany,Meeting and Greeting,"Germans are more formal and punctual than most of the world. 
              They have prescribed roles and seldom step out of line.",
3377,Germany,Meeting and Greeting,"A man or younger person should always walk to the left side of 
              a lady.",
3378,Germany,Meeting and Greeting,"Traditional good manners call for the man to walk in front of 
              a woman when walking into a public place. This is a symbol of 
              protection and of the man leading the woman. A man should open the 
              door for a woman and allow her to walk into the building, at which 
              time the woman will stop and wait for the man. The man should then 
              proceed to lead the woman to her designation. If going to a 
              restaurant, the man may relinquish his leadership role to the 
              maitre' de.",
3379,Germany,Meeting and Greeting,"Don't be offended if someone corrects your behavior (i.e., 
              taking jacket off in restaurant, parking in wrong spot, etc.). 
              Policing each other is seen as a social duty.",
3380,Germany,Meeting and Greeting,"Compliment carefully and sparingly -- it may embarrass rather 
              than please.",
3381,Germany,Meeting and Greeting,"Don’t lose your temper publicly. This is viewed as uncouth and 
              sign of weakness.",
3382,Germany,Meeting and Greeting,Stand when an elder or higher ranked person enters the room.,
3383,Germany,Meeting and Greeting,"Don’t shout or be loud, put your feet on furniture or chew gum 
              in public.",
3385,Germany,Meeting and Greeting,"Traditionally, there has been little acceptance of women in 
              high positions of responsibility and power in business.",
3386,Germany,Meeting and Greeting,"Women, especially foreign women, must establish their position 
              and ability immediately in order to conduct business successfully 
              in Germany.",
3387,Germany,Meeting and Greeting,"A woman should not feel inhibited to invite a German man to 
              dinner for business and will not have any problems paying.",
3725,Greece,Meeting and Greeting,Good friends are most likely to embrace and kiss.,
3727,Greece,Meeting and Greeting,Greeks are very demonstrative and affectionate.,
3728,Greece,Meeting and Greeting,"Nodding your head ""yes"" is not polite; say ""yes"" instead.",
3729,Greece,Meeting and Greeting,"""Yes"" is signified by a slight downward nod of the head; “no"" 
              is a slight upward nod of the head.",
3730,Greece,Meeting and Greeting,"The “O.K.” sign is a rude gesture; ""thumbs up"" means O.K.",
3732,Greece,Meeting and Greeting,"Punctuality is not particularly important in Greece, but 
              foreigners are expected to be on time for business meetings, even 
              though his/her Greek counterpart may be late.",
3733,Greece,Meeting and Greeting,"Greeks want to get to know you before they will do business 
              with you. Business meetings will usually begin with general 
              conversation before business is discussed.",
3734,Greece,Meeting and Greeting,"Trust is a major ingredient for acceptance and is much more 
              important than qualifications, expertise or performance. Greeks 
              and may be slow to trust foreigners.",
3735,Greece,Meeting and Greeting,"Greeks distrust written communications. Put everything down on 
              paper and get the appropriate signatures. Letters/memos are often 
              stiff and formal.",
3736,Greece,Meeting and Greeting,"Avoid telephoning unless it is impossible to meet. Personal, 
              face-to-face contact in all matters is vital to communications.",
3737,Greece,Meeting and Greeting,"There is one boss, and he/she takes complete responsibility. 
              The boss is the owner or the owner's most trusted employee.",
3738,Greece,Meeting and Greeting,"Meetings are often forums for expressing personal opinions 
              (usually contrary) or to inform the group about what is taking 
              place; they seldom have a formal agenda.",
3739,Greece,Meeting and Greeting,"Consensus is important and meetings may last or be reconvened 
              until unanimity is reached.",
3740,Greece,Meeting and Greeting,"The official work day starts early, ends at lunch and may 
              start again at 5:00 p.m.",
3742,Greece,Meeting and Greeting,"Arrive at least 30 minutes late for a dinner party. 8:00 means 
              ""after 8:00.""",
3743,Greece,Meeting and Greeting,Greeks are extremely generous hosts.,
